Table,Condition,Frequency
mc,(mc.note LIKE '%h%' OR mc.note LIKE '%h%'),1
mc,(mc.note LIKE '%r%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%w%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%3%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%)%'),2
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%8%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%4%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%3%'),1
mc,(mc.note LIKE '%p%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%e%' OR mc.note LIKE '%a%'),1
mc,(mc.note LIKE '%y%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%4%' OR mc.note LIKE '%4%'),1
mc,(mc.note LIKE '%i%' OR mc.note LIKE '%r%'),1
mc,(mc.note LIKE '%i%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%9%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%e%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%(%' OR mc.note LIKE '%e%'),1
mc,(mc.note LIKE '%t%' OR mc.note LIKE '%c%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%3%'),1
mc,(mc.note LIKE '%c%' OR mc.note LIKE '%3%'),1
mc,(mc.note LIKE '%-%' OR mc.note LIKE '%e%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%r%'),1
mc,(mc.note LIKE '%2%' OR mc.note LIKE '%1%'),1
mc,(mc.note LIKE '%h%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%)%' OR mc.note LIKE '%v%'),1
mc,(mc.note LIKE '%D%' OR mc.note LIKE '%s%'),1
mc,(mc.note LIKE '%9%' OR mc.note LIKE '%a%'),1
mc,(mc.note LIKE '%V%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%o%' OR mc.note LIKE '%e%'),1
mc,(mc.note LIKE '%A%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%2%'),1
mc,(mc.note LIKE '%3%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%c%' OR mc.note LIKE '%e%'),1
mc,(mc.note LIKE '%e%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%i%' OR mc.note LIKE '%U%'),1
mc,(mc.note LIKE '%?%' OR mc.note LIKE '%V%'),1
mc,(mc.note LIKE '%S%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%l%' OR mc.note LIKE '%)%'),1
mc,(mc.note LIKE '%n%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%a%' OR mc.note LIKE '%e%'),1
mc,(mc.note LIKE '%l%' OR mc.note LIKE '%d%'),1
mc,(mc.note LIKE '%o%' OR mc.note LIKE '%(%'),1
mc,(mc.note LIKE '%t%' OR mc.note LIKE '%a%'),1
mc,(mc.note LIKE '%u%' OR mc.note LIKE '%t%'),1
mc,(mc.note LIKE '%-%' OR mc.note LIKE '%r%'),1
mc,(mc.note LIKE '%i%' OR mc.note LIKE '%u%'),1
mi,(mi.info LIKE '%a%' OR mi.info LIKE '%a%'),2
mi,(mi.info LIKE '%o%' OR mi.info LIKE '%r%'),1
mi,(mi.info LIKE '%b%' OR mi.info LIKE '%u%'),1
mi,(mi.info LIKE '%D%' OR mi.info LIKE '%D%'),1
mi,(mi.info LIKE '%y%' OR mi.info LIKE '%y%'),1
mi,(mi.info LIKE '%I%' OR mi.info LIKE '%I%'),1
mi,(mi.info LIKE '%e%' OR mi.info LIKE '%e%'),1
mi,(mi.info LIKE '%(%' OR mi.info LIKE '%''%'),1
mi,(mi.info LIKE '%i%' OR mi.info LIKE '%y%'),1
mi,(mi.info LIKE '%3%' OR mi.info LIKE '%:%'),1
mi,(mi.info LIKE '%6%' OR mi.info LIKE '%:%'),1
mi,(mi.info LIKE '%i%' OR mi.info LIKE '%o%'),1
mi,(mi.info LIKE '%3%' OR mi.info LIKE '%3%'),1
mi,"(mi.info LIKE '%n%' OR mi.info LIKE '%,%')",1
mi,(mi.info LIKE '%i%' OR mi.info LIKE '%d%'),1
mi,(mi.info LIKE '%n%' OR mi.info LIKE '%a%'),1
mi,(mi.info LIKE '%U%' OR mi.info LIKE '%S%'),1
mi,(mi.info LIKE '%y%' OR mi.info LIKE '%C%'),1
mi,(mi.info LIKE '%8%' OR mi.info LIKE '%8%'),1
mi,(mi.info LIKE '%n%' OR mi.info LIKE '%r%'),1
mi,(mi.info LIKE '%e%' OR mi.info LIKE '%a%'),1
mi,(mi.info LIKE '%3%' OR mi.info LIKE '%5%'),1
mi,(mi.info LIKE '%c%' OR mi.info LIKE '%p%'),1
mi,(mi.info LIKE '%(%' OR mi.info LIKE '%(%'),1
mi,(mi.info LIKE '%t%' OR mi.info LIKE '%n%'),1
mi,(mi.info LIKE '%S%' OR mi.info LIKE '%v%'),1
mi,(mi.info LIKE '%h%' OR mi.info LIKE '%i%'),1
mi,(mi.info LIKE '%2%' OR mi.info LIKE '%:%'),1
mi,(mi.info LIKE '%n%' OR mi.info LIKE '%1%'),1
mi,(mi.info LIKE '%i%' OR mi.info LIKE '%i%'),1
mi,(mi.info LIKE '%d%' OR mi.info LIKE '%i%'),1
mi,(mi.info LIKE '%r%' OR mi.info LIKE '%u%'),1
mi,(mi.info LIKE '%a%' OR mi.info LIKE '%O%'),1
mi,(mi.info LIKE '%t%' OR mi.info LIKE '%s%'),1
mi,(mi.info LIKE '%3%' OR mi.info LIKE '%F%'),1
mi,(mi.info LIKE '%E%' OR mi.info LIKE '%n%'),1
mi,(mi.info LIKE '%e%' OR mi.info LIKE '%t%'),1
mi,(mi.info LIKE '%C%' OR mi.info LIKE '%h%'),1
mi,(mi.info LIKE '%n%' OR mi.info LIKE '%h%'),1
mi,"(mi.info LIKE '%0%' OR mi.info LIKE '%,%')",1
mi,(mi.info LIKE '%o%' OR mi.info LIKE '%o%'),1
mi,(mi.info LIKE '%t%' OR mi.info LIKE '%e%'),1
mi,(mi.info LIKE '%a%' OR mi.info LIKE '%n%'),1
mi,(mi.info LIKE '%9%' OR mi.info LIKE '%1%'),1
mi,(mi.info LIKE '%r%' OR mi.info LIKE '%m%'),1
mi,(mi.info LIKE '%l%' OR mi.info LIKE '%B%'),1
mi,(mi.info LIKE '%a%' OR mi.info LIKE '%e%'),1
mi,"(mi.info LIKE '%e%' OR mi.info LIKE '%,%')",1
mi,(mi.info LIKE '%w%' OR mi.info LIKE '%w%'),1
ci,"ci.note IN ('(as Nicolas Coppola)', '(image restoration)', '(Ovo je Bosna)', '(footage: EPK)', '(China sequences)')",1
ci,"ci.note IN ('(uncredited)', '(creator) (writer)', '(as Bihary JÃ³zsef)', '(as Bryan Brisko)', '(version)')",1
ci,"ci.note IN ('(voice)', '(as Frank Good)', '(as Marc Ianniello)', '(UK)', '(as Nam Ron)')",1
